InstanceType,SpotPrice,AvailabilityZone,DATE,AVG_SP
m4.large,0.0149,us-west-2a,2016-02-29,0.01566
m4.xlarge,0.0347,us-west-2a,2016-01-01,0.03357
m4.xlarge,0.0328,us-west-2a,2016-01-02,0.033648
m4.xlarge,0.0323,us-west-2a,2016-01-03,0.033348
m4.xlarge,0.0325,us-west-2a,2016-01-04,0.035251
m4.xlarge,0.0356,us-west-2a,2016-01-05,0.054757
m4.xlarge,0.087,us-west-2a,2016-01-06,0.04754
m4.xlarge,0.047,us-west-2a,2016-01-07,0.038346
m4.xlarge,0.0358,us-west-2a,2016-01-08,0.047306
m4.xlarge,0.05,us-west-2a,2016-01-09,0.04364
m4.xlarge,0.0418,us-west-2a,2016-01-10,0.041789
m4.xlarge,0.0431,us-west-2a,2016-01-11,0.045807
m4.xlarge,0.0414,us-west-2a,2016-01-12,0.045848
m4.xlarge,0.0346,us-west-2a,2016-01-13,0.037392
m4.xlarge,0.041,us-west-2a,2016-01-14,0.044254
m4.xlarge,0.0366,us-west-2a,2016-01-15,0.03807
m4.xlarge,0.0444,us-west-2a,2016-01-16,0.036569
m4.xlarge,0.0357,us-west-2a,2016-01-17,0.035882
m4.xlarge,0.0348,us-west-2a,2016-01-18,0.03827
m4.xlarge,0.0369,us-west-2a,2016-01-19,0.03827
m4.xlarge,0.0334,us-west-2a,2016-01-20,0.039034
m4.xlarge,0.0418,us-west-2a,2016-01-21,0.038261
m4.xlarge,0.0377,us-west-2a,2016-01-22,0.038727
m4.xlarge,0.0372,us-west-2a,2016-01-23,0.035857
m4.xlarge,0.0361,us-west-2a,2016-01-24,0.035262
m4.xlarge,0.0354,us-west-2a,2016-01-25,0.039077
m4.xlarge,0.0549,us-west-2a,2016-01-26,0.051104
m4.xlarge,0.065,us-west-2a,2016-01-27,0.205075
m4.xlarge,2,us-west-2a,2016-01-28,1.224701
m4.xlarge,0.0456,us-west-2a,2016-01-29,0.056302
m4.xlarge,0.0402,us-west-2a,2016-01-30,0.044859
m4.xlarge,0.0599,us-west-2a,2016-01-31,0.041212
m4.xlarge,0.0309,us-west-2a,2016-02-01,0.038722
m4.xlarge,0.0459,us-west-2a,2016-02-02,0.056573
