InstanceType,SpotPrice,AvailabilityZone,DATE,AVG_SP
m4.4xlarge,0.3551,us-west-2b,2016-02-05,0.418769
m4.4xlarge,0.2133,us-west-2b,2016-02-06,0.238815
m4.4xlarge,0.209,us-west-2b,2016-02-07,0.142806
m4.4xlarge,0.1475,us-west-2b,2016-02-08,0.142672
m4.4xlarge,0.1269,us-west-2b,2016-02-09,0.136037
m4.4xlarge,0.1436,us-west-2b,2016-02-10,0.149341
m4.4xlarge,0.1361,us-west-2b,2016-02-11,0.139711
m4.4xlarge,0.1413,us-west-2b,2016-02-12,0.157431
m4.4xlarge,0.1737,us-west-2b,2016-02-13,0.188539
m4.4xlarge,0.2192,us-west-2b,2016-02-14,0.311141
m4.4xlarge,0.1915,us-west-2b,2016-02-15,0.171099
m4.4xlarge,0.1783,us-west-2b,2016-02-16,0.165348
m4.4xlarge,0.18,us-west-2b,2016-02-17,0.168522
m4.4xlarge,0.1419,us-west-2b,2016-02-18,0.154321
m4.4xlarge,0.1546,us-west-2b,2016-02-19,0.149686
m4.4xlarge,0.1359,us-west-2b,2016-02-20,0.133827
m4.4xlarge,0.1359,us-west-2b,2016-02-21,0.135046
m4.4xlarge,0.1363,us-west-2b,2016-02-22,0.139586
m4.4xlarge,0.1381,us-west-2b,2016-02-23,0.139694
m4.4xlarge,0.14,us-west-2b,2016-02-24,0.148153
m4.4xlarge,0.1468,us-west-2b,2016-02-25,0.150036
m4.4xlarge,0.1589,us-west-2b,2016-02-26,0.144026
m4.4xlarge,0.1313,us-west-2b,2016-02-27,0.159707
m4.4xlarge,0.1726,us-west-2b,2016-02-28,0.170822
m4.4xlarge,0.1736,us-west-2b,2016-02-29,0.184149
m4.large,0.0142,us-west-2b,2016-01-01,0.014118
m4.large,0.014,us-west-2b,2016-01-02,0.014
m4.large,0.014,us-west-2b,2016-01-03,0.014
m4.large,0.0141,us-west-2b,2016-01-04,0.014105
m4.large,0.0142,us-west-2b,2016-01-05,0.014128
m4.large,0.0141,us-west-2b,2016-01-06,0.014217
m4.large,0.0144,us-west-2b,2016-01-07,0.014467
m4.large,0.0143,us-west-2b,2016-01-08,0.01451
m4.large,0.0144,us-west-2b,2016-01-09,0.014408
m4.large,0.0145,us-west-2b,2016-01-10,0.014428
m4.large,0.0145,us-west-2b,2016-01-11,0.014623
m4.large,0.0151,us-west-2b,2016-01-12,0.014987
m4.large,0.0151,us-west-2b,2016-01-13,0.015159
m4.large,0.0154,us-west-2b,2016-01-14,0.015298
m4.large,0.0157,us-west-2b,2016-01-15,0.015352
m4.large,0.0153,us-west-2b,2016-01-16,0.015091
m4.large,0.0152,us-west-2b,2016-01-17,0.015107
m4.large,0.0151,us-west-2b,2016-01-18,0.015302
m4.large,0.0155,us-west-2b,2016-01-19,0.015705
m4.large,0.0161,us-west-2b,2016-01-20,0.015942
m4.large,0.0165,us-west-2b,2016-01-21,0.016465
m4.large,0.017,us-west-2b,2016-01-22,0.016887
m4.large,0.0171,us-west-2b,2016-01-23,0.01657
m4.large,0.0164,us-west-2b,2016-01-24,0.016566
m4.large,0.0169,us-west-2b,2016-01-25,0.020511
m4.large,0.0235,us-west-2b,2016-01-26,0.025568
m4.large,0.0238,us-west-2b,2016-01-27,0.027199
m4.large,0.0354,us-west-2b,2016-01-28,0.026445
