InstanceType,SpotPrice,AvailabilityZone,DATE,HOUR,AVG_SP
m4.10xlarge,0.4168,us-west-2b,2016-01-09,16,0.412038
m4.10xlarge,0.413,us-west-2b,2016-01-09,17,0.412944
m4.10xlarge,0.413,us-west-2b,2016-01-09,18,0.413125
m4.10xlarge,0.4112,us-west-2b,2016-01-09,19,0.414423
m4.10xlarge,0.4168,us-west-2b,2016-01-09,20,0.412823
m4.10xlarge,0.4112,us-west-2b,2016-01-09,21,0.411718
m4.10xlarge,0.413,us-west-2b,2016-01-09,22,0.413591
m4.10xlarge,0.4112,us-west-2b,2016-01-09,23,0.411183
m4.10xlarge,0.4149,us-west-2b,2016-01-10,0,0.409671
m4.10xlarge,0.4095,us-west-2b,2016-01-10,1,0.410921
m4.10xlarge,0.4112,us-west-2b,2016-01-10,2,0.416053
m4.10xlarge,0.4165,us-west-2b,2016-01-10,3,0.418392
m4.10xlarge,0.42,us-west-2b,2016-01-10,4,0.424243
m4.10xlarge,0.4219,us-west-2b,2016-01-10,5,0.419427
m4.10xlarge,0.4219,us-west-2b,2016-01-10,6,0.421423
m4.10xlarge,0.4219,us-west-2b,2016-01-10,7,0.422337
m4.10xlarge,0.4219,us-west-2b,2016-01-10,8,0.42283
m4.10xlarge,0.4219,us-west-2b,2016-01-10,9,0.42225
m4.10xlarge,0.4219,us-west-2b,2016-01-10,10,0.422496
m4.10xlarge,0.4219,us-west-2b,2016-01-10,11,0.422245
m4.10xlarge,0.4165,us-west-2b,2016-01-10,12,0.415028
m4.10xlarge,0.4112,us-west-2b,2016-01-10,13,0.405941
m4.10xlarge,0.3957,us-west-2b,2016-01-10,14,0.395919
m4.10xlarge,0.3957,us-west-2b,2016-01-10,15,0.393967
m4.10xlarge,0.3922,us-west-2b,2016-01-10,16,0.39185
m4.10xlarge,0.3922,us-west-2b,2016-01-10,17,0.390974
m4.10xlarge,0.3886,us-west-2b,2016-01-10,18,0.384857
m4.10xlarge,0.3793,us-west-2b,2016-01-10,19,0.380229
m4.10xlarge,0.3793,us-west-2b,2016-01-10,20,0.377499
m4.10xlarge,0.3906,us-west-2b,2016-01-10,21,0.397109
m4.10xlarge,0.3976,us-west-2b,2016-01-10,22,0.399419
m4.10xlarge,0.4027,us-west-2b,2016-01-10,23,0.412247
m4.10xlarge,0.4112,us-west-2b,2016-01-11,0,0.414862
m4.10xlarge,0.4129,us-west-2b,2016-01-11,1,0.419112
m4.10xlarge,0.4219,us-west-2b,2016-01-11,2,0.415303
m4.10xlarge,0.4129,us-west-2b,2016-01-11,3,0.413609
m4.10xlarge,0.4165,us-west-2b,2016-01-11,4,0.412299
m4.10xlarge,0.4129,us-west-2b,2016-01-11,5,0.413388
m4.10xlarge,0.4129,us-west-2b,2016-01-11,6,0.413103
m4.10xlarge,0.4112,us-west-2b,2016-01-11,7,0.412389
m4.10xlarge,0.4129,us-west-2b,2016-01-11,8,0.412628
m4.10xlarge,0.4112,us-west-2b,2016-01-11,9,0.412678
m4.10xlarge,0.4147,us-west-2b,2016-01-11,10,0.412457
m4.10xlarge,0.4112,us-west-2b,2016-01-11,11,0.411726
m4.10xlarge,0.4094,us-west-2b,2016-01-11,12,0.410351
m4.10xlarge,0.4094,us-west-2b,2016-01-11,13,0.411435
m4.10xlarge,0.4094,us-west-2b,2016-01-11,14,0.410273
m4.10xlarge,0.4094,us-west-2b,2016-01-11,15,0.411383
m4.10xlarge,0.4095,us-west-2b,2016-01-11,16,0.408643
m4.10xlarge,0.4027,us-west-2b,2016-01-11,17,0.402102
m4.10xlarge,0.4027,us-west-2b,2016-01-11,18,0.402078
m4.10xlarge,0.401,us-west-2b,2016-01-11,19,0.405175
m4.10xlarge,0.406,us-west-2b,2016-01-11,20,0.409851
m4.10xlarge,0.4077,us-west-2b,2016-01-11,21,0.407627
m4.10xlarge,0.4095,us-west-2b,2016-01-11,22,0.411763
m4.10xlarge,0.4077,us-west-2b,2016-01-11,23,0.409777
m4.10xlarge,0.4077,us-west-2b,2016-01-12,0,0.409416
m4.10xlarge,0.4151,us-west-2b,2016-01-12,1,0.411768
m4.10xlarge,0.4132,us-west-2b,2016-01-12,2,0.411498
m4.10xlarge,0.4113,us-west-2b,2016-01-12,3,0.412345
m4.10xlarge,0.4113,us-west-2b,2016-01-12,4,0.409968
m4.10xlarge,0.4113,us-west-2b,2016-01-12,5,0.410098
m4.10xlarge,0.4077,us-west-2b,2016-01-12,6,0.403685
m4.10xlarge,0.4025,us-west-2b,2016-01-12,7,0.402781
m4.10xlarge,0.4025,us-west-2b,2016-01-12,8,0.402013
m4.10xlarge,0.4008,us-west-2b,2016-01-12,9,0.400169
m4.10xlarge,0.3992,us-west-2b,2016-01-12,10,0.400497
m4.10xlarge,0.4008,us-west-2b,2016-01-12,11,0.400752
m4.10xlarge,0.3992,us-west-2b,2016-01-12,12,0.398016
m4.10xlarge,0.3976,us-west-2b,2016-01-12,13,0.396821
m4.10xlarge,0.3992,us-west-2b,2016-01-12,14,0.399032
m4.10xlarge,0.4008,us-west-2b,2016-01-12,15,0.39568
m4.10xlarge,0.3945,us-west-2b,2016-01-12,16,0.396104
m4.10xlarge,0.3945,us-west-2b,2016-01-12,17,0.394662
m4.10xlarge,0.3926,us-west-2b,2016-01-12,18,0.395786
m4.10xlarge,0.3973,us-west-2b,2016-01-12,19,0.393931
m4.10xlarge,0.3906,us-west-2b,2016-01-12,20,0.392547
m4.10xlarge,0.3937,us-west-2b,2016-01-12,21,0.396594
m4.10xlarge,0.3953,us-west-2b,2016-01-12,22,0.40218
m4.10xlarge,0.4077,us-west-2b,2016-01-12,23,0.405034
m4.10xlarge,0.4021,us-west-2b,2016-01-13,0,0.402966
m4.10xlarge,0.4021,us-west-2b,2016-01-13,1,0.40284
m4.10xlarge,0.4095,us-west-2b,2016-01-13,2,0.406776
m4.10xlarge,0.4021,us-west-2b,2016-01-13,3,0.402282
m4.10xlarge,0.4001,us-west-2b,2016-01-13,4,0.398394
m4.10xlarge,0.3945,us-west-2b,2016-01-13,5,0.392907
m4.10xlarge,0.3912,us-west-2b,2016-01-13,6,0.38685
m4.10xlarge,0.3843,us-west-2b,2016-01-13,7,0.384562
