InstanceType,SpotPrice,AvailabilityZone,DATE,HOUR,AVG_SP
m4.10xlarge,0.4219,us-west-2c,2016-01-11,0,0.421586
m4.10xlarge,0.4197,us-west-2c,2016-01-11,1,0.4197
m4.10xlarge,0.4197,us-west-2c,2016-01-11,2,0.4197
m4.10xlarge,0.4197,us-west-2c,2016-01-11,3,0.420422
m4.10xlarge,0.4197,us-west-2c,2016-01-11,4,0.422812
m4.10xlarge,0.426,us-west-2c,2016-01-11,5,0.426263
m4.10xlarge,0.4283,us-west-2c,2016-01-11,6,0.426694
m4.10xlarge,0.426,us-west-2c,2016-01-11,7,0.426316
m4.10xlarge,0.426,us-west-2c,2016-01-11,8,0.425973
m4.10xlarge,0.426,us-west-2c,2016-01-11,9,0.426
m4.10xlarge,0.426,us-west-2c,2016-01-11,10,0.42674
m4.10xlarge,0.426,us-west-2c,2016-01-11,11,0.427934
m4.10xlarge,0.4283,us-west-2c,2016-01-11,12,0.42883
m4.10xlarge,0.4283,us-west-2c,2016-01-11,13,0.428453
m4.10xlarge,0.4283,us-west-2c,2016-01-11,14,0.427542
m4.10xlarge,0.4219,us-west-2c,2016-01-11,15,0.421136
m4.10xlarge,0.4156,us-west-2c,2016-01-11,16,0.414804
m4.10xlarge,0.4093,us-west-2c,2016-01-11,17,0.408828
m4.10xlarge,0.4073,us-west-2c,2016-01-11,18,0.40722
m4.10xlarge,0.4073,us-west-2c,2016-01-11,19,0.412259
m4.10xlarge,0.4156,us-west-2c,2016-01-11,20,0.414555
m4.10xlarge,0.4093,us-west-2c,2016-01-11,21,0.406984
m4.10xlarge,0.4013,us-west-2c,2016-01-11,22,0.404196
m4.10xlarge,0.4013,us-west-2c,2016-01-11,23,0.403585
m4.10xlarge,0.4032,us-west-2c,2016-01-12,0,0.40377
m4.10xlarge,0.4073,us-west-2c,2016-01-12,1,0.410746
m4.10xlarge,0.4114,us-west-2c,2016-01-12,2,0.411417
m4.10xlarge,0.4177,us-west-2c,2016-01-12,3,0.415623
m4.10xlarge,0.4114,us-west-2c,2016-01-12,4,0.411466
m4.10xlarge,0.4135,us-west-2c,2016-01-12,5,0.412351
m4.10xlarge,0.4114,us-west-2c,2016-01-12,6,0.410003
m4.10xlarge,0.4051,us-west-2c,2016-01-12,7,0.405489
m4.10xlarge,0.4051,us-west-2c,2016-01-12,8,0.406089
m4.10xlarge,0.4072,us-west-2c,2016-01-12,9,0.406505
m4.10xlarge,0.4051,us-west-2c,2016-01-12,10,0.40413
