InstanceType,SpotPrice,AvailabilityZone,DATE,AVG_SP
m4.4xlarge,0.1191,us-west-2c,2016-02-11,0.119233
m4.4xlarge,0.1193,us-west-2c,2016-02-12,0.123571
m4.4xlarge,0.1234,us-west-2c,2016-02-13,0.126172
m4.4xlarge,0.1265,us-west-2c,2016-02-14,0.132069
m4.4xlarge,0.1315,us-west-2c,2016-02-15,0.136119
m4.4xlarge,0.1325,us-west-2c,2016-02-16,0.136467
m4.4xlarge,0.13,us-west-2c,2016-02-17,0.164642
m4.4xlarge,0.1464,us-west-2c,2016-02-18,0.162631
m4.4xlarge,0.151,us-west-2c,2016-02-19,0.140395
m4.4xlarge,0.1357,us-west-2c,2016-02-20,0.133059
m4.4xlarge,0.129,us-west-2c,2016-02-21,0.130591
m4.4xlarge,0.1295,us-west-2c,2016-02-22,0.132263
m4.4xlarge,0.118,us-west-2c,2016-02-23,0.127518
m4.4xlarge,0.1223,us-west-2c,2016-02-24,0.138319
m4.4xlarge,0.143,us-west-2c,2016-02-25,0.136963
m4.4xlarge,0.1493,us-west-2c,2016-02-26,0.16361
m4.4xlarge,0.1482,us-west-2c,2016-02-27,0.239094
m4.4xlarge,0.2837,us-west-2c,2016-02-28,0.260586
m4.4xlarge,0.2884,us-west-2c,2016-02-29,0.314351
m4.large,0.0148,us-west-2c,2016-01-01,0.01425
m4.large,0.0142,us-west-2c,2016-01-02,0.014135
m4.large,0.0141,us-west-2c,2016-01-03,0.014099
m4.large,0.0141,us-west-2c,2016-01-04,0.014121
m4.large,0.0143,us-west-2c,2016-01-05,0.014117
m4.large,0.0142,us-west-2c,2016-01-06,0.014165
m4.large,0.0142,us-west-2c,2016-01-07,0.014217
m4.large,0.0142,us-west-2c,2016-01-08,0.01431
m4.large,0.0144,us-west-2c,2016-01-09,0.014338
m4.large,0.0143,us-west-2c,2016-01-10,0.0143
m4.large,0.0143,us-west-2c,2016-01-11,0.014434
m4.large,0.0147,us-west-2c,2016-01-12,0.014693
m4.large,0.0146,us-west-2c,2016-01-13,0.014789
m4.large,0.0149,us-west-2c,2016-01-14,0.014907
m4.large,0.0151,us-west-2c,2016-01-15,0.01503
m4.large,0.015,us-west-2c,2016-01-16,0.01507
m4.large,0.0152,us-west-2c,2016-01-17,0.01512
m4.large,0.0151,us-west-2c,2016-01-18,0.015302
m4.large,0.0155,us-west-2c,2016-01-19,0.015906
m4.large,0.0161,us-west-2c,2016-01-20,0.015733
m4.large,0.0157,us-west-2c,2016-01-21,0.016051
m4.large,0.0166,us-west-2c,2016-01-22,0.016837
m4.large,0.0168,us-west-2c,2016-01-23,0.016368
m4.large,0.0163,us-west-2c,2016-01-24,0.016453
m4.large,0.0164,us-west-2c,2016-01-25,0.016855
m4.large,0.0181,us-west-2c,2016-01-26,0.018409
m4.large,0.0199,us-west-2c,2016-01-27,0.01878
m4.large,0.0193,us-west-2c,2016-01-28,0.019147
m4.large,0.0185,us-west-2c,2016-01-29,0.018951
m4.large,0.0194,us-west-2c,2016-01-30,0.018932
m4.large,0.0191,us-west-2c,2016-01-31,0.019435
m4.large,0.0194,us-west-2c,2016-02-01,0.019807
m4.large,0.0202,us-west-2c,2016-02-02,0.022267
m4.large,0.0261,us-west-2c,2016-02-03,0.026723
m4.large,0.0282,us-west-2c,2016-02-04,0.02618
m4.large,0.0296,us-west-2c,2016-02-05,0.02952
m4.large,0.0285,us-west-2c,2016-02-06,0.0276
